label,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%)
ANDESITE,54.5,1.23,13.05,11.88,9.26,5.74,0.2,0.03,2.66,0.13
ANDESITE,54.8,1.18,13.21,11.74,7.66,5.95,0.24,0.22,3.56,0.13
ANDESITE,59.8,1.91,13.92,11.88,0.41,9.49,0.08,0.91,0.08,0.2
ANDESITE,55.4,1.96,12.84,13.41,7.9,3.6,0.21,0.51,2.7,0.18
ANDESITE,55.7,1.8,13.28,13.68,7.1,3.81,0.23,0.39,2.3,0.19
ANDESITE,62.6,0.82,13.72,7.18,5.85,3.8,0.13,1.12,3.75,0.23
ANDESITE,55.9,0.77,17.19,7.01,8.13,5.78,0.12,0.77,3.4,0.15
ANDESITE,58.7,0.9,17.36,5.55,5.32,5.28,0.13,0.42,5.54,0.18
ANDESITE,62.1,0.64,16.09,5.23,4.66,4.73,0.19,0.38,5.26,0.14
ANDESITE,59.2,0.76,14.33,6.63,6.72,6.69,0.11,0.77,3.89,0.16
ANDESITE,57.2,0.78,15.57,7.45,8.29,6.43,0.13,0.18,2.96,0.18
BASALT,48.4,1.15,16.78,11.14,8.32,9.03,0.19,1.68,1.82,0.25
KOMATIITE,45.43,0.19,3.7,7.47,1.66,40.2,0.14,0.01,0.0,0.01
KOMATIITE,45.64,0.31,6.41,9.83,5.7,29.86,0.18,0.08,0.27,0.02
KOMATIITE,44.63,0.16,3.69,8.25,1.39,39.83,0.17,0.0,0.0,0.01
BASALT,47.73,0.59,11.26,10.57,17.04,11.62,0.19,0.01,0.09,0.04
KOMATIITE,43.77,0.25,5.17,11.91,5.4,31.37,0.22,0.02,0.11,0.02
KOMATIITE,45.47,0.32,6.44,10.01,5.99,30.16,0.16,0.06,0.24,0.02
RHYOLITE,71.82,0.29,12.09,3.42,2.19,0.97,0.07,0.78,3.65,0.07
RHYOLITE,70.47,0.22,13.01,2.87,2.57,0.82,0.1,1.29,3.17,0.05
RHYOLITE,74.03,0.22,11.94,2.69,1.44,0.81,0.07,1.45,3.15,0.04
RHYOLITE,76.15,0.16,11.65,2.11,1.43,0.63,0.07,0.71,3.85,0.03
RHYOLITE,73.79,0.21,11.65,2.15,2.37,0.57,0.05,0.82,3.6,0.05
RHYOLITE,76.57,0.21,11.16,2.34,2.03,0.39,0.04,0.46,4.59,0.03
RHYOLITE,72.01,0.25,12.41,2.78,2.52,0.49,0.06,1.23,3.79,0.05
RHYOLITE,72.75,0.28,12.84,2.3,1.89,0.56,0.03,1.72,3.22,0.06
RHYOLITE,74.38,0.28,11.44,2.92,2.64,0.52,0.09,0.5,3.93,0.07
RHYOLITE,73.8,0.23,11.86,2.22,1.43,0.52,0.06,1.11,4.3,0.04
RHYOLITE,74.7,0.24,12.25,2.73,1.08,0.49,0.05,0.81,4.84,0.04
RHYOLITE,72.72,0.22,11.56,2.8,2.91,0.69,0.07,0.94,3.36,0.04
THOLEIITE,48.2,1.09,14.3,11.7,9.36,7.72,0.21,0.07,2.2,0.09
KOMATIITE,42.59,0.16,3.28,13.32,3.82,35.93,0.25,0.01,0.02,0.0
THOLEIITE,50.12,0.31,1.67,8.36,16.7,22.04,0.21,0.0,0.07,0.0
KOMATIITE,43.1,0.34,7.3,10.08,1.67,26.48,0.13,0.01,0.0,0.03
KOMATIITE,39.3,0.37,7.1,10.8,10.0,20.53,0.27,0.02,0.1,0.03
BASALT,49.9,0.84,8.0,11.97,10.16,13.28,0.22,0.04,0.9,0.08
BASALT,47.9,0.62,10.8,10.08,9.42,13.0,0.18,0.03,2.4,0.06
BASALT,49.2,0.98,9.0,12.51,11.5,11.5,0.22,0.01,0.9,0.08
BASALT,53.4,1.04,9.9,11.43,9.6,8.39,0.21,0.03,2.1,0.09
DACITE,65.2,0.73,15.9,4.5,2.92,1.65,0.06,1.57,4.9,0.15
DACITE,66.3,0.48,16.2,3.51,2.78,1.21,0.04,0.27,6.6,0.12
RHYOLITE,67.6,0.57,12.8,6.12,4.14,0.38,0.2,0.91,3.7,0.16
RHYOLITE,68.5,0.66,14.4,5.4,2.88,0.36,0.11,0.09,5.7,0.19
BASALT,57.8,1.2,16.6,4.86,9.61,3.06,0.1,0.03,2.7,0.14
KOMATIITE,40.4,0.25,5.1,6.12,6.44,30.3,0.17,0.01,0.0,0.02
BASALT,50.2,1.5,17.9,8.55,9.55,3.03,0.13,0.15,5.0,0.14
BASALT,49.5,1.32,17.4,7.29,13.2,3.66,0.15,0.09,3.6,0.13
GABBRO,47.9,1.32,12.2,13.41,7.39,4.85,0.2,0.13,3.0,0.13
BASALT,53.2,0.32,18.6,6.03,8.29,5.71,0.16,0.11,1.8,0.04
BASALT,47.8,0.3,17.0,9.9,6.08,9.29,0.32,0.08,1.9,0.03
ANDESITE,62.9,0.96,14.1,9.09,2.1,2.61,0.2,0.19,3.95,0.29
ANDESITE,73.7,0.52,12.2,2.87,3.18,0.91,0.07,0.16,4.61,0.13
ANDESITE,67.9,0.88,14.2,4.35,2.48,1.88,0.11,0.12,5.64,0.24
ANDESITE,76.0,0.78,12.9,0.53,1.92,0.1,0.01,0.15,6.7,0.25
ANDESITE,67.8,0.78,12.7,6.94,0.85,2.92,0.12,0.29,4.02,0.21
ANDESITE,76.4,0.54,10.2,4.0,0.55,2.49,0.05,1.85,0.16,0.15
ANDESITE,52.7,0.96,15.1,16.47,2.37,3.97,0.33,0.19,1.87,0.23
ANDESITE,61.4,1.02,12.2,13.23,0.65,4.78,0.16,0.83,0.19,0.13
ANDESITE,65.8,0.91,13.68,6.78,1.67,3.2,0.11,1.11,3.83,0.25
ANDESITE,64.5,0.92,13.97,7.22,1.98,2.64,0.21,0.36,5.23,0.27
ANDESITE,58.32,1.36,15.88,9.42,1.61,3.67,0.3,0.76,4.09,0.34
ANDESITE,62.36,1.28,14.25,8.16,1.81,3.69,0.2,0.93,4.29,0.34
ANDESITE,58.93,1.32,14.88,10.27,2.56,3.7,0.2,0.36,4.73,0.45
KOMATIITE,45.2,0.409,8.52,11.97,9.05,22.6,0.22,0.04,0.05,0.02
KOMATIITE,45.3,0.401,8.34,11.25,8.87,23.7,0.21,0.03,0.05,0.02
KOMATIITE,45.6,0.447,9.13,11.16,10.8,20.7,0.25,0.03,0.1,0.02
KOMATIITE,45.9,0.361,7.34,10.89,7.71,25.8,0.18,0.02,0.01,0.02
KOMATIITE,45.7,0.35,7.31,11.25,5.91,27.1,0.2,0.08,0.29,0.02
KOMATIITE,44.5,0.26,5.21,9.9,4.28,33.9,0.16,0.07,0.15,0.01
KOMATIITE,44.3,0.2,4.24,9.54,1.86,37.9,0.13,0.04,0.08,0.01
KOMATIITE,44.0,0.178,3.68,9.0,1.6,39.7,0.12,0.02,0.06,0.01
KOMATIITE,43.9,0.225,4.57,9.09,3.89,36.4,0.16,0.04,0.1,0.01
KOMATIITE,44.4,0.236,4.88,9.45,3.65,35.4,0.15,0.04,0.14,0.01
KOMATIITE,45.9,0.361,7.45,10.71,6.94,26.7,0.16,0.03,0.07,0.02
KOMATIITE,45.5,0.41,8.27,10.89,8.28,24.1,0.19,0.07,0.49,0.02
KOMATIITE,45.5,0.411,8.27,10.89,8.28,24.3,0.18,0.07,0.37,0.02
KOMATIITE,45.5,0.401,8.26,10.89,8.3,24.3,0.19,0.07,0.38,0.02
KOMATIITE,45.6,0.409,8.38,11.16,8.52,23.5,0.18,0.07,0.45,0.02
KOMATIITE,45.8,0.41,8.24,10.89,8.51,23.7,0.18,0.11,0.42,0.02
KOMATIITE,44.3,0.271,5.61,10.35,5.02,31.9,0.18,0.19,0.41,0.02
KOMATIITE,45.6,0.318,6.47,10.26,6.05,28.8,0.17,0.21,0.41,0.02
KOMATIITE,45.0,0.317,6.28,9.9,5.74,30.3,0.17,0.23,0.37,0.02
KOMATIITE,44.6,0.286,5.71,9.63,4.91,32.6,0.15,0.17,0.23,0.01
KOMATIITE,44.8,0.278,5.71,9.81,4.84,32.4,0.15,0.14,0.24,0.01
KOMATIITE,45.3,0.32,6.42,9.9,5.76,30.0,0.16,0.22,0.32,0.02
KOMATIITE,45.3,0.328,6.66,10.17,5.86,29.2,0.16,0.3,0.3,0.02
KOMATIITE,45.4,0.351,7.07,10.89,6.51,27.5,0.17,0.13,0.32,0.02
BASALT,53.78,1.3,12.6,12.99,8.01,6.26,0.17,0.11,2.3,0.1
BASALT,49.12,1.22,13.49,12.52,13.18,5.73,0.25,0.13,2.38,0.08
BASALT,50.05,2.04,13.56,16.05,7.68,5.49,0.2,0.27,2.27,0.27
BASALT,49.61,2.12,15.45,15.0,6.64,4.89,0.18,0.33,4.09,0.39
BASALT,49.29,0.79,14.48,11.16,11.57,9.13,0.21,0.32,1.74,0.07
BASALT,57.73,0.8,12.7,9.75,7.43,6.44,0.18,0.15,3.64,0.09
BASALT,51.06,0.84,16.45,10.51,12.63,4.47,0.24,0.49,2.06,0.07
BASALT,50.18,1.54,13.91,14.24,10.48,3.85,0.3,0.05,3.72,0.13
BASALT,51.35,2.09,13.49,16.43,5.66,4.33,0.24,0.04,4.35,0.21
BASALT,48.75,2.04,13.55,15.49,11.1,3.91,0.38,0.18,2.68,0.21
BASALT,51.92,2.11,13.89,16.45,6.12,4.02,0.28,0.18,2.98,0.21
BASALT,53.09,1.05,14.28,10.81,10.24,6.47,0.22,0.05,2.52,0.08
BASALT,51.03,1.04,15.95,12.55,9.68,5.5,0.23,0.04,2.48,0.1
BASALT,51.06,1.91,13.91,14.66,7.49,5.73,0.24,0.08,3.14,0.15
BASALT,49.5,1.7,14.1,15.5,8.82,5.72,0.25,0.29,2.25,0.14
BASALT,55.74,2.44,11.86,13.04,8.2,3.08,0.22,0.08,3.45,0.44
BASALT,49.84,0.81,14.68,11.55,11.21,7.98,0.18,0.2,2.2,0.06
BASALT,48.87,0.7,14.99,11.64,11.4,8.03,0.2,0.16,2.66,0.05
BASALT,50.12,1.14,16.02,9.98,11.61,6.41,0.32,0.51,2.68,0.1
BASALT,48.45,1.2,15.44,12.26,10.3,7.72,0.2,0.17,2.8,0.09
BASALT,49.01,0.94,16.4,11.86,10.77,6.96,0.2,0.36,2.09,0.07
BASALT,48.89,1.03,15.24,12.8,10.33,7.33,0.21,0.06,2.61,0.08
BASALT,49.59,0.92,14.42,12.98,11.96,7.03,0.26,0.12,1.22,0.07
BASALT,48.7,0.8,16.4,11.25,11.8,7.5,0.2,0.1,2.0,0.06
BASALT,54.6,2.3,12.5,13.95,7.4,4.3,0.2,0.26,2.8,0.3
BASALT,49.5,0.8,15.5,10.8,11.6,8.3,0.2,0.06,2.0,0.06
BASALT,48.3,0.7,12.4,8.01,8.3,8.6,0.2,0.2,2.7,0.2
BASALT,51.6,2.3,12.1,14.85,5.2,3.1,0.1,2.4,2.3,0.5
BASALT,50.4,0.7,12.7,9.18,9.0,8.6,0.2,1.2,2.3,0.4
BASALT,50.7,1.0,15.6,9.72,8.8,8.2,0.2,1.0,3.5,0.3
BASALT,54.5,0.6,13.8,7.92,11.1,7.5,0.2,1.0,2.2,0.3
ANDESITE,57.8,1.1,13.9,11.07,5.6,2.0,0.2,1.3,2.6,0.5
ANDESITE,58.1,1.0,17.9,3.87,5.6,1.1,0.2,2.0,4.9,0.4
ANDESITE,62.0,0.6,16.2,5.4,2.8,3.5,0.1,1.3,4.2,0.3
ANDESITE,63.0,0.6,17.0,5.04,2.8,3.2,0.1,2.3,3.8,0.1
ANDESITE,61.2,0.5,16.3,5.22,9.0,2.5,0.1,0.4,4.0,0.1
BASALT,51.9,0.86,16.62,9.32,11.69,5.47,0.14,0.15,2.74,0.06
ANDESITE,57.1,1.09,14.1,13.23,6.1,2.5,0.2,0.3,3.7,0.17
ANDESITE,57.2,0.82,15.6,6.48,7.5,5.9,0.11,0.6,4.7,0.45
ANDESITE,55.1,1.84,12.3,12.96,5.4,4.9,0.25,0.9,3.5,0.88
KOMATIITE,47.27,0.35,7.95,10.71,7.18,24.9,0.2,0.01,0.22,0.02
KOMATIITE,50.42,0.35,6.56,10.08,7.1,23.9,0.2,0.07,0.25,0.03
KOMATIITE,46.1,0.38,7.43,10.89,7.26,21.9,0.18,0.02,0.09,0.03
KOMATIITE,41.5,0.48,9.6,12.15,6.3,21.9,0.25,0.04,0.32,0.03
BASALT,49.11,0.6,10.55,12.51,8.17,16.3,0.22,0.08,1.01,0.05
BASALT,51.08,0.82,10.73,11.52,9.01,14.3,0.2,0.13,0.87,0.08
BASALT,51.41,0.6,11.38,10.53,8.86,13.3,0.19,0.54,1.95,0.04
BASALT,47.08,0.87,10.8,14.22,8.17,15.4,0.23,0.63,0.95,0.09
BASALT,48.1,0.63,11.3,10.98,11.0,9.57,0.2,0.1,1.79,0.05
BASALT,49.2,1.01,14.0,11.79,11.3,7.59,0.24,0.48,1.28,0.12
BASALT,49.53,1.11,14.77,12.92,10.36,6.67,0.24,0.52,2.38,0.08
BASALT,51.06,1.2,13.82,13.83,9.32,6.04,0.23,0.52,2.34,0.1
BASALT,50.0,0.88,15.7,9.63,11.4,4.03,0.25,0.16,2.67,0.07
BASALT,50.21,1.27,14.28,13.82,11.47,5.42,0.21,0.03,1.64,0.11
BASALT,51.59,1.28,13.96,12.56,10.91,4.86,0.21,0.26,2.86,0.11
BASALT,50.32,1.89,14.44,14.1,8.53,5.04,0.19,0.21,3.51,0.21
BASALT,53.6,2.43,12.3,14.94,5.3,3.9,0.15,0.41,4.93,0.32
BASALT,47.12,0.58,14.09,12.96,10.91,10.6,0.32,0.42,1.52,0.04
BASALT,50.43,0.57,14.34,10.8,12.2,8.66,0.24,0.41,1.13,0.03
BASALT,52.03,0.6,15.24,9.69,8.46,7.55,0.22,0.65,3.43,0.04
BASALT,48.0,2.05,14.1,15.57,8.73,5.13,0.22,0.24,3.39,0.19
BASALT,48.3,0.72,15.2,10.35,10.7,7.43,0.18,0.2,2.75,0.06
BASALT,54.04,0.81,13.1,10.95,10.31,7.13,0.28,1.12,1.0,0.05
BASALT,48.31,0.64,13.33,11.17,11.9,11.8,0.19,0.07,1.29,0.04
BASALT,51.21,0.72,15.41,10.43,12.83,6.41,0.18,0.59,1.0,0.05
BASALT,50.06,0.89,15.47,11.55,10.09,6.75,0.19,0.66,2.98,0.06
BASALT,48.42,1.01,14.54,13.82,9.75,7.42,0.25,0.61,2.58,0.07
BASALT,46.55,1.63,13.33,18.09,7.93,5.91,0.26,0.66,3.54,0.1
BASALT,51.31,1.7,13.42,14.84,9.64,4.16,0.29,0.48,2.41,0.12
BASALT,46.04,2.26,13.33,15.68,8.12,9.44,0.23,0.6,2.14,0.41
BASALT,49.62,2.44,14.22,12.71,8.5,6.65,0.32,0.78,3.03,0.33
BASALT,43.8,2.02,14.7,13.59,8.42,6.93,0.18,0.15,2.25,0.27
BASALT,53.1,2.56,14.8,13.95,4.64,4.8,0.39,0.4,2.95,0.41
BASALT,49.6,1.69,13.8,12.69,11.6,5.97,0.25,0.13,1.64,0.16
BASALT,47.0,2.08,8.24,15.93,8.7,11.2,0.24,1.25,2.35,0.14
BASALT,49.4,0.93,13.4,10.17,10.7,6.6,0.23,0.2,1.4,0.1
BASALT,52.0,1.06,14.4,9.81,9.5,5.3,0.23,0.7,2.5,0.11
BASALT,53.5,1.15,15.2,9.81,8.0,7.2,0.19,0.1,3.6,0.13
BASALT,61.1,1.1,17.4,6.48,5.4,3.5,0.18,0.2,3.9,0.08
BASALT,49.6,0.89,15.4,11.79,11.1,7.2,0.26,0.5,1.8,0.07
BASALT,49.4,1.63,14.2,13.32,8.5,7.0,0.25,0.3,3.7,0.17
BASALT,50.2,1.22,14.4,12.42,12.4,4.9,0.26,0.4,2.4,0.11
BASALT,52.9,1.58,12.5,15.3,6.3,4.6,0.2,1.5,3.3,0.19
BASALT,52.6,1.47,13.0,15.03,8.1,4.8,0.22,0.3,2.5,0.16
BASALT,58.4,0.89,11.9,9.9,10.7,3.7,0.35,0.3,2.8,0.07
BASALT,54.6,1.17,14.9,11.88,8.4,3.8,0.33,0.4,3.1,0.08
BASALT,47.9,1.32,15.0,14.22,11.9,3.9,0.34,0.2,3.5,0.14
BASALT,50.3,0.95,14.8,11.52,9.8,8.6,0.13,0.1,2.4,0.1
BASALT,52.5,0.75,14.8,10.17,10.4,7.8,0.17,0.3,1.9,0.06
BASALT,51.4,1.0,13.8,10.53,10.3,7.6,0.22,0.3,3.5,0.1
BASALT,50.6,0.73,12.9,11.7,10.5,9.6,0.21,0.3,2.2,0.1
BASALT,50.2,0.89,14.4,11.52,11.6,7.8,0.2,0.1,1.9,0.07
BASALT,49.6,0.8,15.2,11.07,12.6,7.0,0.18,0.2,2.2,0.07
BASALT,49.2,0.77,16.2,10.89,10.5,8.6,0.19,0.2,2.2,0.06
BASALT,49.2,0.96,15.8,12.24,12.4,6.2,0.23,0.1,1.4,0.07
BASALT,49.3,1.2,15.6,12.69,8.7,8.3,0.15,0.4,2.1,0.09
BASALT,49.2,0.99,15.9,12.06,9.6,8.1,0.2,0.2,2.4,0.07
BASALT,51.6,1.36,15.2,12.78,8.7,5.1,0.27,0.3,3.2,0.12
BASALT,50.3,0.76,14.7,11.07,11.5,8.0,0.21,0.1,2.1,0.06
BASALT,51.0,1.19,17.3,12.78,8.0,4.1,0.34,0.7,3.1,0.1
BASALT,51.4,0.92,17.4,10.44,11.9,3.7,0.22,0.4,2.4,0.06
BASALT,51.1,1.15,14.5,13.95,7.4,7.2,0.2,0.0,2.7,0.1
BASALT,48.9,0.88,15.6,11.79,11.7,8.0,0.16,0.1,1.5,0.06
BASALT,49.3,1.25,15.5,12.96,9.3,7.9,0.14,0.3,1.8,0.09
BASALT,53.4,0.97,16.9,9.72,12.5,3.3,0.21,0.2,1.6,0.07
BASALT,50.8,0.83,15.7,11.79,12.0,4.6,0.29,0.3,2.4,0.05
BASALT,52.1,0.93,14.1,13.23,8.5,6.5,0.21,0.1,2.8,0.06
BASALT,52.3,0.82,13.7,12.51,7.1,8.4,0.2,0.1,3.5,0.07
BASALT,52.1,1.11,13.8,12.15,11.5,5.9,0.2,0.2,1.6,0.1
BASALT,51.3,1.13,13.8,13.32,10.8,5.8,0.2,0.1,2.0,0.1
BASALT,52.1,0.85,13.9,11.88,9.1,7.2,0.2,0.8,2.6,0.1
BASALT,52.1,1.59,12.7,14.85,9.6,5.0,0.23,0.4,1.8,0.2
BASALT,50.5,1.41,14.1,13.68,10.4,5.8,0.23,0.2,1.9,0.2
BASALT,52.2,1.27,15.3,12.24,10.9,4.3,0.18,0.5,1.6,0.1
BASALT,50.8,0.81,14.3,11.97,11.0,7.4,0.16,0.3,2.0,0.1
BASALT,52.7,2.21,12.7,13.5,11.4,3.8,0.17,0.9,0.9,0.3
BASALT,50.7,1.18,14.7,12.06,11.2,5.9,0.28,0.3,2.2,0.1
BASALT,54.1,2.19,12.5,13.86,7.6,4.4,0.16,0.8,2.5,0.3
BASALT,52.1,1.14,13.6,12.6,8.5,7.1,0.21,0.7,2.6,0.1
BASALT,55.6,2.17,13.0,13.77,5.9,4.0,0.2,0.1,3.3,0.3
BASALT,52.3,1.42,12.6,14.13,7.2,6.0,0.34,0.1,4.3,0.13
BASALT,51.9,1.17,13.2,13.23,7.9,6.8,0.23,1.0,3.0,0.11
BASALT,50.6,1.95,12.5,17.19,7.8,4.3,0.26,0.4,2.9,0.2
BASALT,52.8,1.18,13.4,13.41,8.3,6.0,0.24,0.2,2.9,0.14
BASALT,51.6,1.14,14.2,13.23,7.9,7.2,0.23,0.1,2.7,0.1
BASALT,53.1,1.2,13.8,13.68,7.7,6.3,0.24,0.1,2.2,0.13
BASALT,45.9,0.99,16.5,18.9,6.8,4.0,0.59,0.5,3.3,0.4
ANDESITE,68.7,0.5,15.8,6.3,1.0,1.6,0.1,2.0,3.2,0.1
BASALT,57.1,1.09,14.1,13.23,6.1,2.5,0.2,0.3,3.7,0.2
ANDESITE,63.2,0.61,17.5,5.4,2.6,3.3,0.06,1.7,4.9,0.2
ANDESITE,57.1,1.26,16.6,8.64,5.6,4.4,0.15,0.1,4.9,0.35
ANDESITE,55.8,1.14,15.3,9.45,7.1,6.5,0.12,0.8,2.7,0.18
